2026-01-13 00:13:42,768 | WARNING | HIGH RISK | Zone 4 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:13:43,018 | WARNING | HIGH RISK | Zone 4 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:13:43,252 | WARNING | HIGH RISK | Zone 4 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:18:34,965 | WARNING | HIGH RISK | Zone 3 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:18:35,105 | WARNING | HIGH RISK | Zone 3 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:18:37,713 | WARNING | HIGH RISK | Zone 3 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:18:37,843 | WARNING | HIGH RISK | Zone 3 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:18:37,986 | WARNING | HIGH RISK | Zone 3 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:18:38,113 | WARNING | HIGH RISK | Zone 3 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:18:38,253 | WARNING | HIGH RISK | Zone 3 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:18:38,371 | WARNING | HIGH RISK | Zone 3 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:18:38,496 | WARNING | HIGH RISK | Zone 3 | \u26a0\ufe0f Control entry, add security staff
2026-01-13 00:18:38,652 | WARNING | HIGH RISK | Zone 3 | \u26a0\ufe0f Control entry, add security staff
